"( S) Saksa","Sáksi"
"kävellä irvistellen","njeaccuhit"
"kävellä jnk vieressä","bálddastahttit"
"kävellä juntata, kävellä raskain askelin","šeatkkuhit"
"kävellä koukkuisena, kävellä kampuraisena","roaŋkkuhit"
"kävellä köyryssä ja isokokoisena","goavrruhit"
"kävellä köyryssä ja isokokoisena","goavrut"
"kävellä lökäpöksynä, löntystää, lyllertää","loaggut"
"kävellä pörröisenä","bierffuhit"
"kävellä pullukkana","stumppuhit"
"kävellä ryhdikkäänä, rintaa eteen työntäen, marssia selkä suorana","bivššuhit"
"kävellä selkä köyryssä","guvrut"
"kävellä tai puuhailla jtak (liian suoranenäisestä ihmisestä)","šnjuokkardit"
"kävellä","lähteä kävelemään vázzilit, vázzit; (käveleskellä) váccašit, lähteä viemään kävellen váccáldahttit, (reippaasti) vázzáladdat; ryhtyä kävelemään váccáskit, vázzát, käydä jossakin kävellen váccašit gos nu"
"kävellä, juosta puolialastomana","rinččistit"
"kävellä, käyskennellä; käväistä (kävellen jssak)","váccašit"
"kävellä; käydä jssak (kävellen); paimentaa (kävellen)","vázzit"
"kävellen, jalkaisin","vácci"
"kävely, käveleminen, jalankulku","vázzin"
"kävelykeppi","vázzinsoabbi"
"kävelymatka, (käveltävä) huikonen; sauvojan seisomasija veneessä","váccus"
"kävelytellä; seurailla kävelemällä","váccáhallat"
"kävelytie","vázzingeaidnu"
"kävelyttää","váccihit"
"kävelyttää; ajaa takaa (kävellen), kävellä perässä (tavoittaakseen); soveltua käveltäväksi; keksiä (valheita, naurunaiheita)","váccihit"
"kavennus (neuleessa)","láhpá-"
"kavennus, sisäänotto (vaatekappaleessa)","baskkádas"
"kavennus, suipennus","čogaldat"
"kavennus, suipennus","čogus"
"kavennus; rajoitus, supistus","gáržžádus"
"kavennuttaa, kaventaa (kangasta); saada, taivuttaa (jku tekemään jtak)","gárrudit"
"kaventaa (liikaa, vaatetta tms.)","bohkket"
"kaventaa","(ahtaammaksi) baskkidit, (nauhaa tms) seakkidit, gáržžidit, seakkidit, geaccidit, baskkidit"
"kaventaa, panna kapenemaan, rajoittaa, supistaa, aiheuttaa rajoittuminen, supistuminen","gáržudit"
"kaventua (esim. laaksosta)","rožagit"
"kaventua","seaggut, polusta tms.) seaggut, baskut, gáržut, geazzut, (ahtaammaksi) baskut, (nauhasta"
"kaventuma","boatka, bohki"
"kaveri","skihpár ~ skibir, rádná (R), olla (hyvä) kaveri (jkun kanssa) olbmástallat, -hpá- (- skibir), -lbm-:Ø, guoibmi; tulla kaveriksi verddeluvvat, ustit, olmmái, olmmái, verddestallat, verdde, skihpár ~ skibir, guoibmi"
"kaveri, toveri","rádná"
"kaveri, toveri, seuralainen","skihpár"
"kaverukset (pl.)","olbmážat (pl.), verddežat (pl.), skihpáradbat (pl.)"
"kaverukset","skihpáraččat, verddežat, ustibaččat, lávežat, olbmážat"
"kaveta","(kujasta, polusta tms.) seaggut, gáržut, kadusta tms.) baskut, (ahtaammaksi) baskut, (nauhasta"
"kävijä","gal'ledeaddji"
"kavio","hevosen kavio heasttagazza, gazza, guobir"
"kavioeläin","guobereal'li"
"kavuta","gizzut, ks. kiivetä, gakcut, goargŋut"
"kavuta, kiivetä (äkkiä)","givccádit"
"kavuta, kiivetä","gikcut"
"kavuta, kiivetä","gizzut"
"kavuta, kiivetä, kivuta (nopeasti)","gavccádit"
"kavuta, kiivetä, kivuta, kiikkua (jhk)","gakcut"
"käydä (jkn luona)","galˈlet"
"käydä (jossakin)","finadastit, mannalit, čuskkodit, fitnalit, nahkehit; váccašit, guovlladit, vuojašit, fitnat ~ mannat ~ eallit (gos nu); käväistä finadit, čuoiggadit, viegadit, ealašit, čáŋadit, finihit, coggalit"
"käydä (jssak alempana, alamaalla)","njiejadit"
"käydä (päinsä); (impers.) käydä; hätyyttää, käydä päälle; joutua (tekemään jtak); käydä (juomasta), nousta (taikinasta); käydä, käyttää, sujua, luonnistaa, menetellä","geavvat"
"käydä (sattua, tapahtua)","geavvat"
"käydä ahtaa(mma)ksi; kaventua, kaveta, supistua","gáržut"
"käydä ilmi","sisttisdoallat"
"käydä jssak","fitnat"
"käydä kalvakaksi, kalveta","goavššastuvvat"
"käydä kiinni, hauraista, kouraista","govˈvát"
"käydä päinsä, soveltua","goret"
"käydä","päinsä geavvat ládje ~ láji"
"käyläkkä, (sangallinen) rove","geavllet"
"käymälä","hivsset"
"käynnistää","bidjat johtui, stártet"
"käynti","fitnan"
"käyntikortti","gal'ledangoarta"
"käyntiosoite","fitnančujuhus"
"käyrä (adj.)","gavvar (-is), geavr/ras (-e-), geavrá/i (-s), gávr/ras (-e-)"
"käyrä (subst.)","geavrut (käyrässä hetkellisesti), sodju, moalki; geavrril (käyrään kasvaneena), sodji"
"käyrä olento tai esine","gávri"
"käyrä olento; sompa; (~ juolgegeavri) päkiä","geavri"
"käyrä","gávrái"
"käyrä","gávrras"
"käyrä","geavrras"
"käyrä, kippura, kiverä, lenko","gavvar"
"käyrällä, käyräksi kasvaneena","geavrril"
"käyrällä, käyräksi kasvaneena, käyrässä, käyränä","gávrril"
"käyräsarvi (porosta)","gavrečoarvi"
"käyrässä asennossa, (hetkellisesti) käyränä","geavrut"
"käyrässä asennossa, käyränä (tilapäisesti)","gávrut"
"käyristää","molket"
"käyristää, mutkata","molket"
"käyristyä","gávrragit"
"käyristyä","gávrragit, moalkkagit, geavrragit"
"käyristyä, koukistua","moalkkagit"
"käyristyä, koukistua","moalkut"
"käyristyä, koukkuuntua","moakkagit"
"käyskennellä","váccašit"
"käyskennellä, maleksia","ogodit"
"käyskennellä, mennä kävelyvauhtia, kulkea käymäjalkaa, kävellä (erit. nelijalkaisista); vaeltaa (joukolla)","oahkut"
"käyt. yhdyssanoissa","eala-"
"käytänne","vierru"
"käytänne, tottumus, tapa","vierru"
"käytännöllinen","praktihkalaš, geavatlaš"
"käytännöllisesti","geavatlaččat, praktihkalaččat"
"käytäntö","geavat"
"käytäntö","praktihkka"
"käytäntö","praktihkka, práksis, virolašvuohta, geavat"
"käytäntö, perinne","virolašvuohta"
"käytävä","manahat"
"käytävä","váccáhat, manahat"
"käytellä (vähän kerrallaan); pitää käytössä, käyttää kauan","anástallat"
"käytellä (vähitellen); olla sukupuoliyhteydessä keskenään, paritella","anašit"
"käytellä pyssyä, ampuma-asetta","bissostallat"
"käytellä sauvaa","soappástallat"
"käytellä sauvointa","čuoimmástallat"
"käytellä, pitää (usein)","atnáladdat"
"käytetty loppuun","gurrejuvvon"
"käytös","ealageardi"
"käytös","láhttenvuohki, láhtten"
"käyttää (erit. turhaan tai liian pientä) täyttöastiaa; aikailla työnteossa","láppezastit"
"käyttää (jotakuta jossakin)","finahit ~ dolvvodit (soapmása gos nu)"
"käyttää (juomaa), nostattaa (taikinaa)","geavvadit"
"käyttää hihnaa","lávžžástit"
"käyttää hyväkseen","geavahit, ávkkástallat"
"käyttää jkta jssak","finahit"
"käyttää keihästä, tuuraa, keihästää","sáittástit"
"käyttää nuolta, nuolia; ampaista, kiitää","njuolastit"
"käyttää nuoraa, köyttä, köyttää, sitoa (nuoralla, köydellä)","báttástit"
"käyttää nuottaa (jhk)","nuohtástit"
"käyttää puukkoa (tappelussa), puukotella","niibbástallat"
"käyttää puukkoa, puukottaa","niibbástit"
"käyttää pyssyä, ampuma-asetta","bissostit"
"käyttää rautaesinettä","ruovddástit"
"käyttää sauvaa, sauvoa","soappástit"
"käyttää suonirautaa, iskeä suonta","snihpparastit"
"käyttää suopunkia (jhonk)","suohpanastit"
"käyttää taljaa, väkipyörää, nostaa taljalla, väkipyörällä","táhkkalastit"
"käyttää tuohta sytytykseen","beassástallat"
"käyttää verkkoa, pyytää verkolla","sáimmastit"
"käyttää","atnit, ráđđet, golahit, geavahit, loaktit (lohppii), geaktit (R)"
"käyttää, kuluttaa (loppuun)","nohkadit"
"käyttää, nauttia","geavahit, návddašit"
"käyttää, pitää (tavanomaisesti); otaksua (varovasti); penätä (saatavaansa); särkeä (hieman), pakottaa","anildit"
"käyttää, pitää (vähän); tarvita (vähän); naida (kerran, vähän)","anistit"
"käyttää; käyttäytyä","geavahit"
"käyttäjä","geavaheaddji"
"käyttäjänimi","geavahannamma"
"käyttätyä","fereguššat"
"käyttävä, pitävä, tarvitseva; käyttäjä, pitäjä, tarvitsija","adni"
"käyttäytyä hillittömästi, riehua; kulkea liian lyhyissä vaatteissa","garpasaddat"
"käyttäytyä huonosti, julkeasti, olla nenäkäs, vinoilla","stoaidasaddat"
"käyttäytyä huonosti, julkeasti, vinoilla","stoaidudit"
"käyttäytyä kohteliaasti, miellyttävästi","smáđáhkástallat"
"käyttäytyä kuten arkena, olla pyhittämättä pyhäpäivää","árggastallat"
"käyttäytyä kuten ei-saamelaisnainen, ""riuku""","rivgostallat"
"käyttäytyä mahdottomasti, hankalasti, ilkeillä, häijyillä","suohpáhuddat"
"käyttäytyä nuoren tavoin","nuorastallat"
"käyttäytyä omapäisesti","oaivvástallat"
"käyttäytyä pirteästi","arvvohallat"
"käyttäytyä poikamaisesti (aikuinen)","gánddastahttit"
"käyttäytyä raisusti (vaadin, tyttö)","biltudit"
"käyttäytyä tylysti, ynseillä","juvdudit"
"käyttäytyä vallanhimoisesti, ylimielisesti","vuovnnastallat"
"käyttäytyä vieraan, sivullisen tavoin, vierastella","vierástallat"
"käyttäytyä villikon tavoin","vildudit"
"käyttäytyä","fereguššat, meannudit, láhttet, geavahit iežas"
"käyttäytyä, menetellä; kokea","feret"
"käyttäytyä, toimia omapäisesti, omin päin","iešoaivvástallat"
"käyttäytyminen","láhttenvuohki"
"käytteliäs","adni"
"käyttö","geavahus, atnu, geavaheapmi"
"käyttö, käytetyksi tuleminen","aniheapmi"
"käyttö, pito, pitäminen","atnu"
"käyttö; käytös","geavahus"
"käyttöesine","atnubierggas"
"käyttöesine","atnudiŋga"
"käyttöjärjestelmä (tietok.)","geavahanvuogádat"
"käyttökelpoinen","anihahtti, gávnnálaš"
"käyttökelpoinen, pidettävä, pidettävissä oleva","anihahtti"
"käyttökelpoisuus","anihahttivuohta"
"käyttökelvoton","atnemeahttun, anuh/eapme (-is)"
"käyttöliittymä (tietok.)","geavahanlakta"
"käyttömeno","geavahangollu"
"käyttöohje","geavahanráva"
"käyttöoikeus","geavahanvuoigatvuohta"
"käyttöönotto","atnuiváldin"
"käyttösuunnitelma","geavahanplána"
"käyttötapa","geavahanvuohki"
"käyttötarkoitus","geavahanulbmil"
"käyttövarat","geavahanruhta"
"käyttövoima","geavahanfápmu"
"kehä","-rr-; (rakennuksen) gehá; (nauhapirran) čielgi; (kuun tai auringon ympärillä) geavii, riekkis, (kuun, biras, biras; (rakennuksen) gehá; (nauhapirran) čielgi, -ggá-:Ø, auringon ympärillä) geavli, riekkis; (ympyrän) gierdosáhcu"
"kehäkukka","gierdolieđđi, riekkesrássi"
"kehäkulma (mat.)","gierdočiehka"
"kehdata","että kehtaatkin sanoa noin go nie heivehat dadjat, julggadit ~ jolggadit, geaktidit, jolget, (dub., neg.) heivehit, jolggadit"
"kehdata","geaktidit"
"kehdata, rohjeta, uskaltaa","roahkadit"
"kehiä (suopunkia)","njámmat"
"kehiä, vyyhdetä, vyyhtiä, kiepitä (suopunkia); pyyhkiä, lakaista (kokoon), puhdistaa; kahmia","njámmat"
"kehikko","riggi"
"kehitellä","ovddidit; (valmistaa) ráhkadallat, ovddidit"
"kehittää","gárgedit; (edistää) ovddidit; (filmi tms.) iđihit, gárget, gárggiidahttit, gárget, gárgedit; (edistää) ovddidit; (flmi tms.) iđihit; (valmistaa) ráhkadit, gárgehit"
"kehittämisjohtaja","ovddidanhoavda"
"kehittämissuunnitelma","ovddidanplána"
"kehittely","ovddideapmi, ovddideapmi; (valmistelu) ráhkadallan:m"
"kehittyä","gárggiidit; (edistyä) ovdánit, kehittyi pitkä keskustelu šattai guhkes ságastallan:m, bohciidit; kehittyi pitkä keskustelu šattai guhkes ságastallan, sukeutua) šaddat, bohciidit, (fyysisesti) čálgat; (tulla, ahtanuššat, kehkeytyä) šaddat, ahtanuššat; (fyysisesti) čálgat; (tulla"
"kehittyä, versoa, syntyä, tulla vireille; seurata (jstak)","bohciidit"
"kehittynyt (lapsesta)","veađar"
"kehittynyt (lapsesta)","čálg/gas (-a), veađar (-is), veađar ~ veađ'đár#-is, searalaš"
"kehittynyt","maa ovdánanriika"
"kehitys","ovdáneapmi; (filmin) iđiheapmi, gárggiideapmi; (edistys) ovdánupmi"
"kehitysalue","ovddidanguovlu"
"kehitysapu","ovddidanveahkki"
"kehitysmaa","gárggiidusriika:, ovdáneaddjiriika, ovddidan riika, ovddidanriika, ovddidanriika"
"kehitysrahasto","ovddidanfoanda"
"kehitystaso","ovdánandássi"
"kehitysvaihe","ovdánanmuddu, gárggiidanmuddu; ovdánanmuddu; (elollisella) čalganmuddu, gárggiidanmuddu"
"kehitysvammainen","bázahallan, doaibmaváillat"
"kehitysyhteistyö","ovddidanoktasašbargu"
"kehitysyhteistyöministeri","ovddiidanovttasbargoministtar"
"kehkeytyä","bohciidit; kehkeytyi pitkä keskustelu šattai guhkes ságastallan, kehkeytyi pitkä keskustelu šattai guhkes ságastallan:m, šaddat, bohciidit"
"kehlo, (pieni) leili, nassakka","leaila"
"kehno","fuonášit, heittot:g ~ h#-is, hea/dju (-jos), fuotni#fuones, pitää kehnona hejošit, heitto/t (-gis), fuo/tni (-nes); pitää kehnona hejošit, headju#heajos"
"kehnosti","funet ~ fuonit, hejot ~ heajut, heittogit ~ heittohit, heittogit"
"kehnous","hedjodat, headjuvuohta, hedjodat, heittotvuohta, headjuvuohta"
"keho","gorut, rumaš, gorut:d, -pm-"
"kehottaa (jkta) karttamaan (jtak tai jnk tekemistä), varoittaa (jkta jstak tai tekemästä jtak)","mieddut"
"kehottaa","ávžut"
"kehottaa","kehottaa luopumaan (jstak) vár'ret (+lok.), mieddut (+lok.), ávžžuhit"
"kehottaa, suosittaa","ávžžuhit"
"kehotus","ávžžuhus"
"kehotus, suositus","ávžžuhus"
"kehotus; neuvonta","rávˈvehus"
"kehrä, (erit. kalastuskelan keskiön kummassakin päässä oleva) kiekko, kurra; (sian) kärsä; tupsumaiseksi kulunut sauvoimen pää","gearsi"
"kehrääjä (lintu)","idjaskeaiki"
"kehrääjä","badni"
"kehrääjä","idjaskeaiki"
"kehrääjä","idjaskeaiki, (ahran, ="
"kehräämö","banáhat"
"kehräämö","bonáhat ~ banáhat"
"kehräillä (tarmokkaasti)","batnáladdat"
"kehräillä (vähän kerrallaan)","banástallat"
"kehräillä","banašit"
"kehräillä, kehrätä (pikkuhiljaa), punoskella (köyttä)","banašit"
"kehräpuu, kuosali, rukinlapa","gohkal"
"kehräsluu","behkeš"
"kehräsluu","sis(giehta)dieigu"
"kehrätä (kissasta)","már'ret, batnit ~ botnit"
"kehrätä (lankaa), punoa (nuoraa, köyttä)","batnit"
"kehrätä (vähän)","banistit"
"kehrätä","(pikkuhiljaa) bonašit ~ banašit; soveltua kehrättäväksi bonihit ~ banihit, botnit ~ batnit, batnit ~ botnit; (hiljalleen) banašit ~ bonašit; soveltua kehrättäväksi banihit ~ bonihit"
"kehrätä, punoa","botnit"
"kehräytellä, kehruutella","banáhallat"
"kehräyttää","bonihit ~ banihit"
"kehräyttää, kehruuttaa; soveltua kehrättäväksi","banihit"
"kehruuttaa","banihit ~ bonihit, bonihit ~ banihit"
"kehto","geahttu, geto ~ geattu"
"kehto","geaŧŧu"
"kehu","máidnu; oma kehu haisee iežas rápmi hakso, máidnu, rápmi"
"kehu","rámpon"
"kehu, ylistys","máidnu"
"kehu, ylistys","rápmi"
"kehua","giitalit, rábmot, rámpot, rámpot, máidnut, rámidit, rábmot"
"kehua, kehuskella","rámpot"
"kehua, kehuskella; mainostaa","rábmot"
"kehua, kiitellä (pitkään)","máinnodit"
"kehua, kiitellä, ylistää","máidnut"
"kehuminen, kehu; mainos","rábmon"
"kehuskella (jllak)","rámpot (+kom.), rámohallat (+kom.)"
"kehuskella","rámádaddat, rámohallat"
"kehys","rám'ma, rápma"
"kehys","rámˈma"
"kehys","rápma"
"kehysbudjetointi","rápmabušeahtta"
"kehyskertomus","olggošmuitalus, rápmamuitalus"
"kehysohjaus","rápmastivren"
"kehystää","bidjat rámaid, rábmet, rápmadit, rám'met"
"kehystyttää","bijahit rámaid, rábmehit, rám'mehit"
"keidas","sáttomeahcceguovda, oása"
"keihään kaltainen harppuuna (paltaan tai kampelan pyynnissä)","skohtal"
"keihäänheitto","sáitesuhppen, sáitesuhppen:m"
"keihäs","sáiti"
"keihäs, tuura","sáiti"
"keihäsmäinen","sáittilágan"
"keihästää (paltaita tai kampeloita)","skohtalastit"
"keihästellä (käyttää keihästä)","sáittástallat"
"keihästellä, käyttää tuuraa (useaan otteeseen)","sáittástallat"
"keija","bohttu ~ pohttu"
"keiju","háldáš"
"keijusto","oahtta ~ oahttu, plankton, sagit (pl.), oahttu ~ oahtta"
"keijusto, planktoni; veden pinnalla lentelevät hyönteiset; parvi (vedessä)","oahtta"
"keikahtaa, keinahtaa, huojahtaa; läjähtää, mätkähtää; potkaista, sätkähtää, nytkähtää","gášvvihit"
"keikahtaa, kellahtaa (selälleen ja jalat ilmaan)","stávrrihit"
"keikahtaa, kellahtaa, kupsahtaa","stávžžihit"
"keikahtaa, retkahtaa (takakenoon)","njavččihit"
"keikari","geamppastal'li, geamppastal'li, snobba, =, snobba"
"keikaroida","snobbet, geamppastallat"
"keikistelevä, keimaileva","šlivggas"
"keikkua (nopeasti, esim. veneestä); lähteä vaappuen, ontuen kävelemään","juorbulit"
"keikkua (pöydästä tms.)","juvzzodit; (veneestä) juorbut, juovzut, jurbbodit, (veneestä tms.) juorbut"
"keikkua (vene); vaappua, ontua","juorbut"
"keikkua, liikehtiä (istuessa, maatessa), heittelehtiä (levottomasti vuoteessa)","mállaguššat"
"keikkua, nytkyä; harjoittaa sukupuoliyhteyttä, nussia","neavzut"
"keikkuva esine; tutiseva, vapiseva ihminen","livzi"
"keikkuva; tutiseva, vapiseva","livzzas"
"keikutella (pöytää tms.)","juovzzuhit; (venettä) juorbbuhit"
"keikutella","sugahit, (pöytää tms.) juovzzuhit, (venettä tms.) juorbbuhit"
"keila (turskakala)","loahkka"
"keila (turskansukuinen kala); tollo (haukkumasana)","loahkka"
"keila","geailu, šluppot:h; (kiila) geailu; (keko) soahttu"
"keila, kartio","geailu"
"keila, keko, kokko (polttopuita); heinäsuova, ruko","soahttu"
"keilaaja","geilejeaddji"
"keilailu","geilen"
"keilamainen","geaillulágan"
"keilata","geilet"
"keimaileva","-vg-#šlivge-, šlivggas, irgái"
"keimaileva, kosiskeleva(inen)","irgái"
"keimailija (naisesta","hearci"
"keimailla (keikistellä)","healaidit, heallat, šlivgasaddat, himpasaddat, hearcasaddat, himppistit, gieibmasaddat"
"keimailla","gieibmasaddat"
"keinahdella","sugadit, heillodit"
"keinahtaa","gášvvihit, suhkalit"
"keino (jstak selviämiseksi), neuvo, apu","ruovvu"
"keino","keino jstak selviytymiseksi, geaidnu, hutki, poispääsy latnja; jolla on vähän keinoja geainnoheapme; (tie) geaidnu"
"keinomunuainen","dahku/manimuš ~ -monimuš"
"keinonahka","dahkunáhkki"
"keinosilkki","dahkusilki"
"keinotekoinen","geinnolaš, dahku-, dahkkojuv'von"
"keinotella","spekuleret, jobbet"
"keinoton","geainnoheapme"
"keinottelija","spekulánta, jobbár"
"keinottelu","jobben, spekulašuvdna, spekuleren"
"keinu","sukká, suhkan, suhkan:m"
"keinu, liekku","suhkká"
"keinua (laineilla)","cuilut"
"keinua","sugadit, sugadit; (keinussa) suhkat, sukkát, heailut, suilut, (keinussa) suhkat, (aalloilla) suoilut ~ suilut, sukkát; (aalloilla) suoilut"
"keinua","suoilut"
"keinuttaa","sugahit"
"keinutuoli","sugadanstuollu, suhkanstuollu, sukkástuollu"
"keisari","keaisár ~ keaissir, geaisár, -isá-"
"keisari","keaisár"
"keisarikunta","geaisárriika, keaisárriika"
"keisarileikkaus","geaisárčuohpahus"
"keisarillinen","geaisárlaš, keaisárlas"
"keitettävä (erit. keittolihat)","-uš'šo-, vuoššus"
"keitettävä, (erit.) keittolihat; keitos","vuoššus"
"keitin","vuos'sanbierggas, vuoššan, -rg-, vuoššanas, vuoššanas, vuosšan"
"keitinselkä (nuotiolla)","goaŋku, geiddestággu; keitinselän tukipuu goaŋkocaggi"
"keitinselkä","goaŋku"
"keitos","-uš'šo-, vuoššus"
"keittää haudetta karjalle, liemustaa","liemastit"
"keittää herajuustoa (poronmaidosta)","gamardit"
"keittää","(kiehauttaa) duldehit; keittää ruokaa málestit, vuoš'šat; (kiehuttaa) duolddahit, vuos'sat, (kiehuttaa) duolddahit; keittää ruokaa málestit ~ málistit; tulla keitetyksi vus'sot"
"keittää, valmistaa juustomassaa","čuvket"
"keittää; panna (olutta)","vuošˈšat"
"keittäjä","vuoš'ši; koahkka ~ goahkka, vuoš'ši, =, vuošši, goahkka ~ koahkka"
"keittämättömän maku","skealččasmáhkka"
"keittiö","gievkkan ~ kievkkan"
"keittiö","kievkkan"
"keittiöapulainen","gievkkanveahkki"
"keitto","-llá, málli, mális"
"keitto; velli; (R) veri","málli"
"keittoainekset (pl.)","málesráđit (pl.)"
"keittokirja","málestangirji, vuoš'šangirji, málestangirji, vuoššangirji"
"keittokomero","vuoš'šanskurbmu, vuoššanskurbmu"
"keittokoukku (kodassa)","vuoššanfaggi"
"keittotila","vuoš'šansadji"
"kekäle","ráddi"
"keko","guhpa; (polttopuita) soahttu, (polttopuita) soahttu, guhpa ~ guhpá"
"kekseliäisyys","hutkáivuohta"
"kekseliäs","hutká/i (-s), hutkalas, hutkkálaš"
"kekseliäs","hutkkálaš"
"kekseliäs, neuvokas","hutkái"
"kekseliäs, neuvokas","hutkalas"
"keksi (syötävä)","čeaksa (N, keaksa, R)"
"keksi (uittosalko)","čuolggu"
"keksiä","naurunaiheita) váccihit, hutkat, gekset (S), fuomášit; (valheita"
"keksiä, hoksia, äkätä","hutkat"
"keksijä","hutki, ="
"keksintö","fuomášupmi, -tko-, hutki, hutkkus"
"keksintö","hutkkus"
"keksintö, keino; metku","hutki"
"kela (nuotanvedossa)","gealli"
"kela (onkiessa)","rul'la; (nuotanvedossa) gealli"
"kela","rul'la"
"kelailla (nuottaa)","gealašit"
"kelata (nuottaa)","geallit"
"kelata (nuottaa)","gehlát"
"kelata (siimaa tms.)","rul'let, duohpat; (puida jtak asiaa mielessään) moivet"
"kelata (siimaa)","rul'let, duohpat"
"kelata (vintturilla), nostaa (väkipyörällä)","juvlet"
"keli","sievlladat, čuohpahat, rodda, njáhcu, linádat; (huono keli) jearga, dimádat, (luistava) jođádat, guottádat, sabádat, durddádat, ruokŋasiivu, seakkádat, govddáhat, siivu, girrat, losádat, jođuhisvuohta, moarádat, dobádat, skoabádat, skoarádat, šakŋa; (hyvä keli) jođádat"
"keli, jolla lumi tarttuu suksien tms. pohjiin","dobádat"
"keli, luisto; menekki","siivu"
"keliaakikko","keliakihkkár"
"keliakia","keliakiija"
"kelin pitävyys talvella; pitävä jalansija","coakci"
"kelirikko","siivvuhisvuohta, maŋešsiivvut (pl.), siivvuhis áigi"
"kelirikko, huonot kelit","siivvuhisvuohta"
"kelirikko; huono luisto, luistamattomuus; huono kaupattavuus","jođuhisvuohta"
"kelju","birolaš, suohpáh/eapme (-is), árvvoh/eapme (-is), árvvoheapme ~ árvvuheapme, vear'rái"
"keljuilla","cihppošit, suohpáhuddat, árvvohuššat, guohccut, guohcistit, verrošit, birostit"
"kelkka","gielká, gielká; kelkkaa vetäen gielkágeasi"
"kelkkailla","gielkkástallat; kelkkailija gielkkástal'li, čierastallatgielkkáin"
"kellahtaa (kuolleena)","gaidnat, njuolgat"
"kellahtaa (nurin)","raŋggihit"
"kellahtaa","ravggihit"
"kellari","geallir, geallir ~ keallir, -l'lá- ~ keallir, -l'lá-"
"kellari","keallir"
"kellarinluukku (lattiassa)","geallerlohkki"
"kellastua","fiskkodit"
"kellastuttaa","fiskkodahttit"
"kellertää","fiskát"
"kellertää, loistaa keltaisena","fiskát"
"kellertävä","fiskeslágán"
"kellertävä","fiskeslágan"
"kellertävä","fiskessidjii"
"kellertyä","fiskkodit"
"kellistää (esim. poro)","virradit, gaidnadit, golezastit"
"kellistää","gaidnadit, gávuhit"
"kellistää","raŋgalit"
"kellistyä (esim. porosta)","gaidnat"
"kellistyä","ravgat, gaidnat, gahččat"
"kellistyä","raŋggagit"
"kello (ajannäytin)","diibmu ~ tiibma ~ tiibmu; (soiva) biel'lu, (pieni, pyöreäsuinen) divga"
"kello (iso); romu","roahpi"
"kello (korkealla, ohuella äänellä soiva)","skiŋgá"
"kello","divga, čuojan, diibmu ~ tiibmu; (soiva) biel'lu, golka, roŋge, skilka, skiŋgá, gihlar, gilkkan, gilka, roahpi"
"kello; tunti","tiibmu"
"kellokas (porosta)","biellohas"
"kellokas","biellohas"
"kellokas","bielˈlán"
"kellokasvit (pl.)","biel'lošattut (pl.)"
"kellonaika","näihin kellonaikoihin dáid bottaid, diibmomearri, diibmoáigi"
"kelloseppä","urmáhkár (N, R), diibmočeahppi"
"kelloseppä, kelluri","urmáhkár"
"kellosinilatva","suorbmagoahti, alitcearki"
"kellotaajuus","diibmodávjodat"
"kelloton; jolla on (liian) vähän kelloja","bielloheapme"
"kellua","govdut"
"kellua; lainehtia","govdut"
"kelluke, koho, uimuri","govddohat"
"kelluskella","govddodit"
"kelluslehti","čázeoailasta"
"kelluva","govdu"
"kelluva; matalalla uiva (vene); päällimmäinen; ilmeinen","govddus"
"kelmeä","go/akšat (-kšes), goavššas (-is), šo/avkat (-vkes), šoavkat:d#šovkes"
"kelmi","skealbma; kelmeillä, kälmeillä skelbmošit, skealbma"
"kelmu","cuozza"
"kelo","soarvi"
"keloa (sarvia)","čallat"
"keloa (sarvia), hangata (nahkaa sarvista)","čallat"
"keloa (sarviaan nopeasti)","čallalit"
"kelohongaton","soarvveh/eapme (-is)"
"kelohonka","jossa on runsaasti honkia) soarvá/i (-s), soarvi, soarvi; kelohonkainen (metsästä"
"kelohonka","soarvi"
"kelohonkainen (metsästä), jossa on runsaasti keloja","soarvái"
"kelopää (urosporosta)","čaloaivi"
"kelosarvi (porosta)","čalačoarvi"
"kelosarvi (urosporosta)","calocoarvi"
"keloskella (sarviaan, tarmokkaasti)","čallaladdat"
"keloskella sarviaan (poro)","čalastallat"
"keloutua (hongasta)","soarviluvvat, soarvut"
"keloutua (hongasta)","soarvut"
"keloutua, hankautua, irrota (sarvien nahka)","čallasit"
"kelpo (indekl.)","fávdnái ~ fávdnát:d(# is), albma (indekl.)"
"kelpo","albma"
"kelpoisuus",", gelbbolašvuohta, gealbu, gelbbolašvuohta, dohkálašvuohta"
"kelpoisuus","dohkálašvuohta"
"kelpoisuus, kyky","gealbu"
"kelpoisuusaika","dohkálašvuođaáigi, "
"kelpoisuusehto","dohkálasvuođaeaktu, , dohkálašvuođaeaktu, gelbbolašvuođaeaktu"
"kelpoisuusvaatimus",", dohkálasvuođagáibádus, dohkálašvuođagáibádus, gelbbolašvuođagáibádus"
"kelpuuttaa","dohkkehit"
"kelpuutuslauseke",", dohkkehancealkka"
"keltainen (adj.)","fisk/at (-es); näkyä keltaisena fiskát"
"keltainen (subst.)","fiskat"
"keltainen","fiskat"
"keltainen","fiskat:d#fiskes, loistaa keltaisena fiskát"
"keltalieko","gieldá, fiskesgieldá, fiskesgieldá"
"keltamaksaruoho (fiskes)","bulljelasta"
"keltamaksaruoho","bulljelasta"
"keltamatara","fiskesmáđir"
"keltanarsissi","fiskesnarsis'sa"
"keltano","ádjáfivllit"
"keltaperhonen","suoidnebeaiveloddi"
"keltasara","suoidnelukti"
